seed,object,action,world_condition,method,trajectory_rmse_m,relative_intervention_rmse,ade_m,fde_m,early_rmse_m,middle_rmse_m,late_rmse_m,direction_error_deg,gross_failure,coverage,coverage_error,mean_interval_width_m,nees,gaussian_nll
2,soft_block,diagonal_hook,shifted_contact,hybrid,0.0032091732734264517,0.5352739443276737,0.0032061188873302314,0.005558870536113647,0.0018823144239911815,0.003862095475863694,0.0035434879355060985,8.340674435905964,False,0.9665178571428571,0.06651785714285707,0.015975044601661822,0.4221584678840155,-4.2216251205019635
3,rope,diagonal_hook,matched_contact,generative_only,0.026751771103699144,1.425764011293388,0.025443458631045607,0.060182383887099226,0.0049466143740803424,0.024299762767703438,0.03971621875536068,93.32236732964206,True,0.9604591836734694,0.06045918367346936,0.0784314711630394,0.6178182503132915,-2.6363838827190134
3,rope,diagonal_hook,matched_contact,physics_only,0.003507458787864167,0.18693373576824468,0.0028895412730943,0.006358892906145179,0.0007997749503355066,0.003566265487135808,0.004916678304490119,8.000000000000025,False,0.8558673469387755,0.04413265306122449,0.0072855942962188865,2.0419278808206984,-4.182351323233965
3,rope,diagonal_hook,matched_contact,hybrid,0.003507458787864167,0.18693373576824468,0.0028895412730943,0.006358892906145179,0.0007997749503355066,0.003566265487135808,0.004916678304490119,8.000000000000025,False,0.8558673469387755,0.04413265306122449,0.0072855942962188865,2.0419278808206984,-4.182351323233965
3,rope,diagonal_hook,shifted_contact,generative_only,0.020765456534410105,1.8026159569220632,0.020630916625108082,0.05096505098093007,0.0025602099543898687,0.01661044436032086,0.03230124280746197,93.34136477077406,True,0.9936224489795918,0.09362244897959182,0.0784314711630394,0.36174615792038334,-2.7644199289154674
3,rope,diagonal_hook,shifted_contact,physics_only,0.007345210052805168,0.6376258969404391,0.005723455862788325,0.008213606451449862,0.0035268694765654323,0.00962140051438948,0.007550295186330455,8.01899744113205,False,0.7257653061224489,0.17423469387755108,0.0072855942962188865,9.34121263835932,-0.5327089444646546
3,rope,diagonal_hook,shifted_contact,hybrid,0.007345210052805168,0.6376258969404391,0.005723455862788325,0.008213606451449862,0.0035268694765654323,0.00962140051438948,0.007550295186330455,8.01899744113205,False,0.7257653061224489,0.17423469387755108,0.0072855942962188865,9.34121263835932,-0.5327089444646546
3,cloth,diagonal_hook,matched_contact,generative_only,0.010395013753005439,1.3789078723555945,0.011169735834946234,0.028085354993277665,0.0025503129901214053,0.008887531288419211,0.015682260936689667,92.20450651644353,False,0.9920634920634921,0.09206349206349207,0.05405077745459256,0.33724970301392815,-3.0486671015054774
3,cloth,diagonal_hook,matched_contact,physics_only,0.0013663133608128322,0.18124268943701305,0.0014239701025863542,0.003271053246671481,0.00036092333482657405,0.0012582518170445444,0.001999801111093444,8.000000000000025,False,0.9940476190476191,0.09404761904761905,0.007225987455567132,0.35132879373233605,-5.032284787500727
3,cloth,diagonal_hook,matched_contact,hybrid,0.0013663133608128322,0.18124268943701305,0.0014239701025863542,0.003271053246671481,0.00036092333482657405,0.0012582518170445444,0.001999801111093444,8.000000000000025,False,0.9940476190476191,0.09404761904761905,0.007225987455567132,0.35132879373233605,-5.032284787500727
3,cloth,diagonal_hook,shifted_contact,generative_only,0.008526357713228249,1.728991550251775,0.00911395969612291,0.02464365502819493,0.0014837012218534458,0.006290852645309807,0.013493586373051496,92.2213205754271,False,0.998015873015873,0.098015873015873,0.05405077745459256,0.2198612010761442,-3.107361352474369
3,cloth,diagonal_hook,shifted_contact,physics_only,0.0027055125897584103,0.5486291525787952,0.0024785499605748493,0.0039051959522122784,0.0016924552983950767,0.0035207073047526017,0.0025816962179698462,8.016814058983611,False,0.8908730158730159,0.009126984126984095,0.007225987455567132,1.200206005807256,-4.607846181463268
3,cloth,diagonal_hook,shifted_contact,hybrid,0.0027055125897584103,0.5486291525787952,0.0024785499605748493,0.0039051959522122784,0.0016924552983950767,0.0035207073047526017,0.0025816962179698462,8.016814058983611,False,0.8908730158730159,0.009126984126984095,0.007225987455567132,1.200206005807256,-4.607846181463268
3,soft_block,diagonal_hook,matched_contact,generative_only,0.01189380572508906,1.2961612651846433,0.013030146686296215,0.030318140857197348,0.0026777563785046143,0.010526397502371918,0.017764467297661485,95.66472190338656,False,0.9866071428571429,0.08660714285714288,0.05733988189079304,0.39351563056988015,-2.9678542267226513
3,soft_block,diagonal_hook,matched_contact,physics_only,0.0016110109005479374,0.1755644892261623,0.001692917124106476,0.003838961255674652,0.0003919494063567507,0.0014947234012884555,0.0023566845535361687,8.000000000000025,False,0.9642857142857143,0.06428571428571428,0.007256028967490912,0.487198183600809,-4.959871227774154
3,soft_block,diagonal_hook,matched_contact,hybrid,0.0016110109005479374,0.1755644892261623,0.001692917124106476,0.003838961255674652,0.0003919494063567507,0.0014947234012884555,0.0023566845535361687,8.000000000000025,False,0.9642857142857143,0.06428571428571428,0.007256028967490912,0.487198183600809,-4.959871227774154
