panel,family,dlo,trajectory,arm,normalized_mse,rmse_mm2
all_queries,bending_statistic,DLO4,41.pkl,source_coupled_posterior_extension,12.192165128314436,12652.738898107973
all_queries,bending_statistic,DLO4,5.pkl,source_coupled_posterior_extension,10.155335937742278,11547.587858686931
all_queries,bending_statistic,DLO4,56.pkl,source_coupled_posterior_extension,10.566633624120483,11779.109328503095
all_queries,bending_statistic,DLO4,58.pkl,source_coupled_posterior_extension,12.862790260650902,12996.06042972398
all_queries,bending_statistic,DLO4,66.pkl,source_coupled_posterior_extension,13.75832504173222,13440.855458295959
all_queries,bending_statistic,DLO4,70.pkl,source_coupled_posterior_extension,12.88054546711651,13005.026919809105
all_queries,bending_statistic,DLO4,81.pkl,source_coupled_posterior_extension,10.73027028012165,11869.965555005127
all_queries,bending_statistic,DLO4,84.pkl,source_coupled_posterior_extension,11.92480965916686,12513.242350305796
all_queries,bending_statistic,DLO4,93.pkl,source_coupled_posterior_extension,11.32198141975751,12192.853254381846
all_queries,bending_statistic,DLO4,96.pkl,source_coupled_posterior_extension,12.248830270162086,12682.107681598336
all_queries,bending_statistic,DLO4,11.pkl,empirical_global_centered,0.2734379753400292,1894.8443576191717
all_queries,bending_statistic,DLO4,16.pkl,empirical_global_centered,0.40049593617347856,2293.206609574673
all_queries,bending_statistic,DLO4,30.pkl,empirical_global_centered,0.32072291796403235,2052.1501101759786
all_queries,bending_statistic,DLO4,35.pkl,empirical_global_centered,0.3501147776103025,2144.121288821587
all_queries,bending_statistic,DLO4,41.pkl,empirical_global_centered,0.46366570874407864,2467.4400918634838
all_queries,bending_statistic,DLO4,5.pkl,empirical_global_centered,0.317123555025555,2040.6023323350878
all_queries,bending_statistic,DLO4,56.pkl,empirical_global_centered,0.39301831728021586,2271.697624808589
all_queries,bending_statistic,DLO4,58.pkl,empirical_global_centered,0.28965052717459877,1950.2095986779004
all_queries,bending_statistic,DLO4,66.pkl,empirical_global_centered,0.5483330177358541,2683.282058636484
all_queries,bending_statistic,DLO4,70.pkl,empirical_global_centered,0.7302534440680704,3096.570235256245
all_queries,bending_statistic,DLO4,81.pkl,empirical_global_centered,0.6839170444457047,2996.7177596804954
all_queries,bending_statistic,DLO4,84.pkl,empirical_global_centered,0.25920336601572347,1844.8643832792302
all_queries,bending_statistic,DLO4,93.pkl,empirical_global_centered,0.41240616791587376,2327.055300137178
all_queries,bending_statistic,DLO4,96.pkl,empirical_global_centered,0.37468651437111195,2218.0848687879243
all_queries,bending_statistic,DLO4,11.pkl,empirical_horizon_centered,0.2641081492346201,1862.237333320372
all_queries,bending_statistic,DLO4,16.pkl,empirical_horizon_centered,0.38416469639310036,2245.964326933947
all_queries,bending_statistic,DLO4,30.pkl,empirical_horizon_centered,0.3146200685210894,2032.5317512774623
all_queries,bending_statistic,DLO4,35.pkl,empirical_horizon_centered,0.3404982431912384,2114.470184955732
all_queries,bending_statistic,DLO4,41.pkl,empirical_horizon_centered,0.45311270852649704,2439.199091236526
all_queries,bending_statistic,DLO4,5.pkl,empirical_horizon_centered,0.3069188541041638,2007.501655297902
all_queries,bending_statistic,DLO4,56.pkl,empirical_horizon_centered,0.3928909540497709,2271.329506861394
all_queries,bending_statistic,DLO4,58.pkl,empirical_horizon_centered,0.28276935151080845,1926.9049657549988
all_queries,bending_statistic,DLO4,66.pkl,empirical_horizon_centered,0.5408295713092334,2664.859661722884
all_queries,bending_statistic,DLO4,70.pkl,empirical_horizon_centered,0.7135582778994186,3060.9684436731877
all_queries,bending_statistic,DLO4,81.pkl,empirical_horizon_centered,0.6772503402280318,2982.0762502193916
all_queries,bending_statistic,DLO4,84.pkl,empirical_horizon_centered,0.2579257589457429,1840.312121074998
all_queries,bending_statistic,DLO4,93.pkl,empirical_horizon_centered,0.4043990555980274,2304.353985158292
all_queries,bending_statistic,DLO4,96.pkl,empirical_horizon_centered,0.3603797831669851,2175.325935727227
all_queries,bending_statistic,DLO4,11.pkl,empirical_symmetric_residual,0.2945735937032514,1966.7132085179965
all_queries,bending_statistic,DLO4,16.pkl,empirical_symmetric_residual,0.4221917411630178,2354.5016262628533
all_queries,bending_statistic,DLO4,30.pkl,empirical_symmetric_residual,0.33578723218308676,2099.7917127951446
all_queries,bending_statistic,DLO4,35.pkl,empirical_symmetric_residual,0.36464393200644785,2188.1577261292427
all_queries,bending_statistic,DLO4,41.pkl,empirical_symmetric_residual,0.48619912456180187,2526.6856525618573
all_queries,bending_statistic,DLO4,5.pkl,empirical_symmetric_residual,0.34118460086861707,2116.600228584648
all_queries,bending_statistic,DLO4,56.pkl,empirical_symmetric_residual,0.41452003488274736,2333.0115616887833
all_queries,bending_statistic,DLO4,58.pkl,empirical_symmetric_residual,0.31010500384025547,2017.8947714588808
all_queries,bending_statistic,DLO4,66.pkl,empirical_symmetric_residual,0.5668879315581727,2728.303836567105
all_queries,bending_statistic,DLO4,70.pkl,empirical_symmetric_residual,0.754081402665225,3146.684806177988
all_queries,bending_statistic,DLO4,81.pkl,empirical_symmetric_residual,0.699174616948162,3029.960414321798
all_queries,bending_statistic,DLO4,84.pkl,empirical_symmetric_residual,0.27311105668545677,1893.7112940195525
all_queries,bending_statistic,DLO4,93.pkl,empirical_symmetric_residual,0.42876864913879337,2372.7699822358104
all_queries,bending_statistic,DLO4,96.pkl,empirical_symmetric_residual,0.39708142399395446,2283.410077099755
all_queries,bending_statistic,DLO4,11.pkl,source_query_bias,0.14810796075371374,1394.5475569118548
all_queries,bending_statistic,DLO4,16.pkl,source_query_bias,0.20615463484411417,1645.2832624253929
all_queries,bending_statistic,DLO4,30.pkl,source_query_bias,0.24446059434948486,1791.6309644365251
all_queries,bending_statistic,DLO4,35.pkl,source_query_bias,0.29439344765590864,1966.1117462651755
all_queries,bending_statistic,DLO4,41.pkl,source_query_bias,0.25535947550820826,1831.13395899654
all_queries,bending_statistic,DLO4,5.pkl,source_query_bias,0.15671212373590657,1434.4830669737162
all_queries,bending_statistic,DLO4,56.pkl,source_query_bias,0.23467984338492515,1755.4239643319115
all_queries,bending_statistic,DLO4,58.pkl,source_query_bias,0.16542548823071157,1473.8230368420132
all_queries,bending_statistic,DLO4,66.pkl,source_query_bias,0.33907079632159387,2110.033357599975
all_queries,bending_statistic,DLO4,70.pkl,source_query_bias,0.3721212110577707,2210.4787326931346
all_queries,bending_statistic,DLO4,81.pkl,source_query_bias,0.4833932273195668,2519.3842422227076
all_queries,bending_statistic,DLO4,84.pkl,source_query_bias,0.24664462788399089,1799.6164665711879
all_queries,bending_statistic,DLO4,93.pkl,source_query_bias,0.27908191817443767,1914.2999044324001
all_queries,bending_statistic,DLO4,96.pkl,source_query_bias,0.17427180620469687,1512.7170231681341
all_queries,bending_statistic,DLO4,11.pkl,source_query_horizon_bias,0.15783554809005088,1439.6155842469618
all_queries,bending_statistic,DLO4,16.pkl,source_query_horizon_bias,0.2736638164506257,1895.6267021875346
all_queries,bending_statistic,DLO4,30.pkl,source_query_horizon_bias,0.2588670938396101,1843.6672963949702
all_queries,bending_statistic,DLO4,35.pkl,source_query_horizon_bias,0.3374468207990336,2104.974302997433
all_queries,bending_statistic,DLO4,41.pkl,source_query_horizon_bias,0.3196093822848615,2048.584525729917
all_queries,bending_statistic,DLO4,5.pkl,source_query_horizon_bias,0.21357570261766978,1674.6345609777031
all_queries,bending_statistic,DLO4,56.pkl,source_query_horizon_bias,0.2806815836612378,1919.7783387545899
all_queries,bending_statistic,DLO4,58.pkl,source_query_horizon_bias,0.20287949185846976,1632.1617739316077
all_queries,bending_statistic,DLO4,66.pkl,source_query_horizon_bias,0.3597134575608295,2173.313966599309
all_queries,bending_statistic,DLO4,70.pkl,source_query_horizon_bias,0.3983562418252803,2287.0725491836956
all_queries,bending_statistic,DLO4,81.pkl,source_query_horizon_bias,0.49112740244121256,2539.459033217207
all_queries,bending_statistic,DLO4,84.pkl,source_query_horizon_bias,0.28173423327975683,1923.3748746138722
all_queries,bending_statistic,DLO4,93.pkl,source_query_horizon_bias,0.2678585805900477,1875.41294582299
all_queries,bending_statistic,DLO4,96.pkl,source_query_horizon_bias,0.2278269601917625,1729.604019159641
all_queries,bending_statistic,DLO4,11.pkl,source_query_ridge,0.12589600235460652,1285.7309489753065
all_queries,bending_statistic,DLO4,16.pkl,source_query_ridge,0.1959963711997539,1604.2355766508822
all_queries,bending_statistic,DLO4,30.pkl,source_query_ridge,0.27544943176785064,1901.8009868137483
all_queries,bending_statistic,DLO4,35.pkl,source_query_ridge,0.19941534814942238,1618.167292030362
all_queries,bending_statistic,DLO4,41.pkl,source_query_ridge,0.23667094515782694,1762.855035814327
all_queries,bending_statistic,DLO4,5.pkl,source_query_ridge,0.12284064803690999,1270.0335024663214
all_queries,bending_statistic,DLO4,56.pkl,source_query_ridge,0.26419885230066703,1862.5570813790916
all_queries,bending_statistic,DLO4,58.pkl,source_query_ridge,0.2041309170121893,1637.1878813422682
all_queries,bending_statistic,DLO4,66.pkl,source_query_ridge,0.3385722002549028,2108.4814082956564
all_queries,bending_statistic,DLO4,70.pkl,source_query_ridge,0.36265522807071743,2182.1826543582015
all_queries,bending_statistic,DLO4,81.pkl,source_query_ridge,0.4376042536223179,2397.0930647566574
all_queries,bending_statistic,DLO4,84.pkl,source_query_ridge,0.18120241141384666,1542.5033448915058
all_queries,bending_statistic,DLO4,93.pkl,source_query_ridge,0.2660942180614452,1869.2261452790892
all_queries,bending_statistic,DLO4,96.pkl,source_query_ridge,0.16516521520435024,1472.6631569820129
heldout_queries,squared_distance,DLO4,11.pkl,point_plugin,0.03687296092755691,11752.07190052613
heldout_queries,squared_distance,DLO4,16.pkl,point_plugin,0.03798224595409864,11927.536496760278
heldout_queries,squared_distance,DLO4,30.pkl,point_plugin,0.030180117953107797,10632.145215982247
heldout_queries,squared_distance,DLO4,35.pkl,point_plugin,0.05221008910386543,13984.200769711277
heldout_queries,squared_distance,DLO4,41.pkl,point_plugin,0.047149120083012495,13289.15079039105
heldout_queries,squared_distance,DLO4,5.pkl,point_plugin,0.04558075362659808,13066.256636750682
heldout_queries,squared_distance,DLO4,56.pkl,point_plugin,0.05266086298298428,14044.439744943882
