schema,group_id,scenario,method_id,solver_admissible,solver_reason,risk_score,guard_threshold,guard_accepted,exact_fallback,baseline_rmse_m,raw_rmse_m,deployed_rmse_m,raw_harmful,harmful_accepted,raw_improvement_fraction,deployed_improvement_fraction,coverage_90,predictive_width_rms_m,nominal_probability,identifiable_fraction,query_sensitivity_fraction,fixed_point_converged
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420852,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005625340219712845,0.005625340219712845,0.005625340219712845,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420853,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.007022886670104842,0.007022886670104842,0.007022886670104842,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420854,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.005892903898858267,0.005892903898858267,0.005892903898858267,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420855,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.009438678596719444,0.009438678596719444,0.009438678596719444,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420856,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008312606936155476,0.008312606936155476,0.008312606936155476,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420857,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.01026698975283368,0.01026698975283368,0.01026698975283368,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420858,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.008605389275677278,0.008605389275677278,0.008605389275677278,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420859,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.004802092746801631,0.004802092746801631,0.004802092746801631,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420860,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.0065673887562010015,0.0065673887562010015,0.0065673887562010015,False,False,0.0,0.0,,,1.0,0.0,0.0,True
bayesian-phystwin-prob4d-controlled-decisive-trial,target-nominal_correlated-318420861,nominal_correlated,B0_physical_fallback,False,physical-fallback-reference,1e+300,-1e+300,False,True,0.00692682173300754,0.00692682173300754,0.00692682173300754,False,False,0.0,0.0,,,1.0,0.0,0.0,True
